Rating(%),Fee(INR),Place,Name,Qualification
91,,"BM Birla Heart Research Centre, Kolkata",Dr. Aakansha Ajyavir Singh,"MBBS, MD, Fellowship - Paediatric Cardiology"
91, 900,"Fortis Hospital, Anandapur",Dr. Abhijit Bhatta,"MBBS, MD - Internal Medicine"
91,,"AMRI Medical Centre, Southern Avenue",Dr. Abhijit Chakraborty,"BDS, MDS - Periodontics"
95, 600,"Narayana Superspeciality Hospital, Howrah",Dr. Abhay Kumar,"MBBS, MS - General Surgery, DNB - Genito Urinary Surgery"
91, 700,"Medica Superspecialty Hospital, Kolkata",Dr. Abhijit Banerjee,"MBBS, MD - Medicine, DM - Cardiology"
91, 700,"Woodlands Hospital, Kolkata",Dr. Abhijit Bandopadhyay,"MBBS, Diploma - Orthopedics, MS - Orthopaedics"
91, 600,"Calcutta Medical Research Institute, Kolkata",Dr. Abani Kumar Biswas,"MBBS, MS - General Surgery, MCh - Cardiothoracic Surgery"
93, 600,"Narayana Superspeciality Hospital, Howrah",Dr. Abhijit Basu,"MBBS, MD - Radiotherapy , DMRT"
91, 400,"Narayana Multispeciality Hospital, Howrah",Dr. Abhay Sonthalia,"BDS, MDS - Prosthodontics & Maxillofacial Surgery"
91, 950,"Medica Superspecialty Hospital, Kolkata",Dr. Abhijit Chanda,"MBBS, MD, DM"
91, 600,"Peerless Hospital, Kolkata",Dr. Abhijit Chatterji,"MBBS, FRCS"
91, 1000,"AMRI Hospital, Mukundapur",Dr. Abhijit Das,"MBBS, MD - Internal Medicine, DM - Neurology"
91, 600,"Rabindranath Tagore International Institute of Cardiac Sciences, E M Bypass Mukundapur",Dr. Abhijit Chatterjee,"MBBS, DNB - General Medicine, MD - General Medicine"
91,,"Kothari Medical Centre, Kolkata",Dr. Abhijit Ghosh,"MBBS, MS - Ophthalmology"
91,,"Belle Vue Clinic, Kolkata",Dr. Abhijeet Chatterjee,"MBBS, MD - Internal Medicine, DM - Neurology"
91,,"AMRI Hospitals, Salt Lake City",Dr. Abhijit De,"MBBS, MD"
91,,"North City Hospital, Kolkata",Dr. Abhijit Pal,"MBBS, MD - Internal Medicine, Diploma - Tropical Medicine and Hygiene"
91,,"IRIS Hospital, Kolkata",Dr. Abhijit Mondal,"MBBS, MD - Internal Medicine"
91,,"Belle Vue Clinic, Kolkata",Dr. Abhijnan Maji,"MBBS, MD - Internal Medicine"
91, 600,"AMRI Hospital, Mukundapur",Dr. Abhijit Kanungo,"MBBS, Diploma - Orthopaedics"
94, 600,"Rabindranath Tagore International Institute of Cardiac Sciences, E M Bypass Mukundapur",Dr. Abhijit Sarkar,"MBBS, MD - Internal Medicine, DNB"
91,,"Columbia Asia Hospital, Salt Lake",Dr. Abhijit Ghosh,"MBBS, MD - Obstetrics and Gynaecology, PG Diploma - Obstetrics and Gynaecology"
99, 500,"Narayana Multispeciality Hospital, Howrah",Dr. Abhijit Sarkar,"MBBS, Diploma - Child Health"
91,,"Peerless Hospital, Kolkata",Dr. Abhijit Roy,"MBBS, MD - Medicine"
91,,"Peerless Hospital, Kolkata",Dr. Abhijit Saha,"MBBS, MD - Dermatology"
91,,"Peerless Hospital, Kolkata",Dr. Abhik Pyne,"BDS,  MDS - Oral & Maxillofacial Surgery"
91, 500,"Desun Hospital and Heart Institute, Kolkata",Dr. Abhiruchi Chatterjee,"MBBS, DNB - Psychiatry"
91,,"AMRI Hospital, Dhakuria",Dr. Abhirup Bhattacharya,"MBBS, MD - Internal Medicine"
91,,"Columbia Asia Hospital, Salt Lake",Dr. Abhinibesh Chatterjee,"MBBS, DGO, DNB (Obstetrics & Gynecology)"
91,,"AMRI Medical Centre, Southern Avenue",Dr. Abhirup Maulik,"MBBS, Diploma - Orthopaedics"
91, 500,"Calcutta Medical Research Institute, Kolkata",Dr. Abhisheik Bhartia,"MBBS, Diploma - Laparoscopic Surgery"
91,,"Ruby General Hospital, Kolkata",Dr. Abhishek Basu,"MBBS, MD - Radiotherapy"
91,,"Charnock Hospital, Kolkata",Dr. Abhishek Bhadra,"MBBS, MS - Obstetrics and Gynecology, DNB - Obstetrics and Gynecology"
91,,"IRIS Hospital, Kolkata",Dr. Abhishek De,"MBBS, MD - Dermatology, Fellowship"
91, 200,"Rabindranath Tagore Surgical Centre, Hiland Park",Dr. Abhishek Ghosh Dastidar,"BDS, FAGE"
98, 500,"Narayana Multispecialty Hospital, Barasat",Dr. Abhradip Das,"MBBS, MD - Pulmonary Medicine"
91, 700,"Fortis Hospital, Anandapur",Dr. Abhrajit Ray,"MBBS, MD - Rheumatology& Auto Immune Disease, MRCP"
91, 500,"Ruby General Hospital, Kolkata",Dr. Abhishek Guha Thakurta,"MBBS, DNB (General Surgery)"
