Rating(%),Fee(INR),Place,Name,Qualification
99, 2500,"Jaslok Hospital, Mumbai",Dr. Aabha Nagral,"MBBS, MD - Internal Medicine, DNB - Gastroenterology"
91,,"Saifee Hospital, Mumbai",Dr. Abbas F Kanchwala,"MBBS, MS - General Surgery"
91, 4500,"Breach Candy Hospital Trust, Mumbai",Dr. Aadil Shaukat Chagla,"MBBS, MS - General Surgery, MCh - Neurosurgery"
91, 1500,"Nanavati Hospital, Vile Parle",Dr. Aashal Sanghavi,"BDS, MDS"
91,,"Saifee Hospital, Mumbai",Dr. Abbas Mistry,"MBBS, MS (General Surgery), MCh (Plastic Surgery)"
91, 1000,"Beams Hospital, Khar",Dr. Aamod Rao,"MBBS, MS - General Surgery, MD"
91,,Sir HN Reliance Foundation Hospital and Research Centre,Dr. Aashish Contactor,"MBBS, MED"
91, 800,"S L Raheja Hospital, Mahim",Dr. AA Chikhalikar,"MBBS, MD"
91,,"Nanavati Hospital, Vile Parle",Dr. Abbas Ali Barodawala,"BDS, MDS - Oral & Maxillofacial Surgery"
91, 1100,"Dr LH Hiranandani Hospital, Powai",Dr. Aadesh A Patil,"MBBS, MD - Radiation Oncology, Fellowship - Neuro-Oncology"
98,,"SRCC Children Hospital, Mahalaxmi",Dr. Abdul Bashir Khan,"MBBS, DCH, MD - Pediatrics"
91,,"Global Hospital, Mumbai",Dr. Abhay A  Bhave,"MBBS, MD, Fellowship"
91, 1000,"Sevenhills Hospital, Andheri",Dr. Abhay Agrawal,"MBBS, MS - General Surgery, FMBS - Bariatric & Metabolic"
100, 1500,"Kokilaben Dhirubhai Ambani Hospital, Andheri",Dr. Abhaya Kumar,"MBBS, MS - General Surgery, DNB - General Surgery"
91,,"Beams Hospital, Jubilee Hills",Dr. Abhay Agrawal,"MBBS, MS - General Surgery, FRS"
91, 1000,"Kohinoor Hospital, Kurla",Dr. Abhaya Gupta,"MBBS, MS"
98, 1250,"Global Hospital, Mumbai",Dr. Abhay Dalvi,"MBBS, MS - General Surgery"
91, 800,"Guru Nanak Hospital, Bandra",Dr. Abhay Deshpande,"MBBS, MS - ENT, DORL"
91, 2500,"Wockhardt Hospital, Mumbai Central",Dr. Abhay Nene,"MBBS, MS - Orthopedics, Spine Foundation Fellowship"
92, 1750,"Global Hospital, Mumbai",Dr. Abhay Narvekar,"MBBS, MS - Orthopedics, Diploma - Orthopedics"
91, 1200,"Hinduja Healthcare Surgical, Khar",Dr. Abhijeet Desai,"MBBS, MS - Ophthalmology, DOMS"
91, 500,"Guru Nanak Hospital, Bandra",Dr. Abhay Raut,"MBBS, MD - Medicine, Fellowship"
91,,"Nanavati Hospital, Vile Parle",Dr. Abhijit Soni,"MBBS, MD - Radiology, DNB"
91,,"Kokilaben Dhirubhai Ambani Hospital, Andheri",Dr. Abhijit Raut,"MBBS, MD - Radiology, Fellowship - Cardiac MRI"
91, 700,"Dr LH Hiranandani Hospital, Powai",Dr. Abhijit Joshi,"MBBS, MS (General Surgery), Fellowship (Laparoscopic Surgery)"
91, 1000,"Wockhardt Hospital, Mumbai Central",Dr. Abhijeet Kale,"MBBS, MS - Orthopaedics, Diploma - Orthopedics"
91,,"Wockhardt Hospital, Mumbai Central",Dr. Abhijeet Naik,"MBBS, MS - General Surgery, MCh - CTVS"
91, 1500,"Jaslok Hospital, Mumbai",Dr. Abhijit Thakur,"MBBS, MS - General Surgery, AFSA"
97, 1650,"RG Hospital, Khar",Dr. Abhinandan Sadagale,"MBBS, MS, MCh - Urology"
97, 1500,"Kokilaben Dhirubhai Ambani Hospital, Andheri",Dr. Abhijit Pawar,"MBBS, MS - Orthopedics , Resident - Orthopedics"
91, 1500,"IASIS Hospital, Vasai",Dr. Abhijit Kulkarni,"MBBS, MS, MCh - Neurosurgery"
94, 1500,"RG Hospital, Andheri",Dr. Abhinav Kumar,"MBBS, MS - General Surgery , MCh - Urology"
91, 600,"Lifeline Multispeciality Hospital, S V Road, Malad",Dr. Abhishek Jaipuria,"MBBS, MS (Ortho), DNB"
93, 1500,"Jaslok Hospital, Mumbai",Dr. Abhishek Mangeshikar,"MBBS,  Diploma - Advanced Gynaec Laparoscopic Surgery , MS - Obstetrics and Gynecology"
94, 1200,"Kohinoor Hospital, Kurla",Dr. Abhinay Huchche,"MBBS, MD"
91, 1500,"Kokilaben Dhirubhai Ambani Hospital, Andheri",Dr. Abhishek Srivastava,"MBBS, MD - Physical Medicine & Rehabilitation, DNB - Physical Medicine & Rehabilitation"
91, 1500,"Wockhardt Hospital, Mumbai Central",Dr. Abhishek Keni,"MBBS, MS - Orthopaedics , DNB - Orthopaedics and Traumatology"
100, 2000,"Jaslok Hospital, Mumbai",Dr. Abhishek Kulkarni,"MBBS, MD - Pediatrics, Visiting Fellowship"
